CONT. CONTÁBIL;CONTA CÓD.;DATA;NOME CLIENTE/FORNECEDOR;HISTÓRICO; CRÉDITO ;  DÉBITO
SEGURO;25;28/06/22;SEGURO TAXAS;;;67,98
LICENÇA RODOVIA;21;30/06/22;DEPOSITO CAMINHONEIRO;6787,94;;
OFICINA DA CARRETA;20;30/06/22;CASA DAS MANGUEIRAS SHEGO;DJC, WALDIR ETC;;2069
FRETE FUBA;1;03/07/22;MALU X BRF;;13483;
KM SAIDA ;2;03/07/22;498998;;;
KM CHEGADA ;3;05/07/22;502244;;;
DIESEL;13;05/07/22;CAMINHONEIRO ;841;;6249,95
ARLA;14;05/07/22;CAMINHONEIRO ;55;;200
SEGURO;25;05/07/22;SEGURO, TAXAS E QUEBRAS;;;57,98
CLASSIFICADOR;22;05/07/22;CLASSIFICADOR ;;;20
COMISSAO;24;05/07/22;COMISSAO ;;;1483,8
OFICINA DO CAMINHAO;19;05/07/22;OLEO HIDRAILICO ;;;29,99
LICENÇA RODOVIA;21;05/07/22;DEPOSITO CAMINHONEIRO ;;;
OFICINA DO CAMINHAO;19;07/07/22;BATERAUTO RIO VERDE;2 BATERIAS;;1560
OFICINA DA CARRETA;20;07/07/22;PONTUAL SOLDAS SHEGO;PEITO POMBA, BALANÇA;;4429
OFICINA DA CARRETA;20;07/07/22;AUTO ELETRICA SHE;;;150
FRETE FUBA;1;08/07/22;MALU X RIO VERDE BRF;;13963,6;
KM SAIDA ;2;08/07/22;502244;;;
KM CHEGADA ;3;09/07/22;503865;;;
DIESEL;13;09/07/22;CAMINHONEIRO;841;;6249
ARLA;14;09/07/22;CAMINHONEIRO ;;;193,27
SEGURO;25;09/07/22;SEGURO TAXAS;;;59,83
CLASSIFICADOR;22;09/07/22;CLASSIFICADOR ;;;20
CONCERTO DE PNEUS;18;09/07/22;BORRACHARIA;;;120
COMISSAO;24;09/07/22;COMISSAO ;;;1535,99
